0 verbose cli C:\Program Files\nodejs\node.exe C:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js
64 http cache space-separated-tokens@https://registry.npmjs.org/space-separated-tokens/-/space-separated-tokens-1.1.5.tgz 0ms (cache hit)
65 http cache split@https://registry.npmjs.org/split/-/split-1.0.1.tgz 0ms (cache hit)
66 http cache slash@https://registry.npmjs.org/slash/-/slash-3.0.0.tgz 0ms (cache hit)
67 http cache semver@https://registry.npmjs.org/semver/-/semver-6.3.0.tgz 0ms (cache hit)
68 http cache safer-buffer@https://registry.npmjs.org/safer-buffer/-/safer-buffer-2.1.2.tgz 0ms (cache hit)
69 http cache setimmediate@https://registry.npmjs.org/setimmediate/-/setimmediate-1.0.5.tgz 0ms (cache hit)
70 http cache safe-buffer@https://registry.npmjs.org/safe-buffer/-/safe-buffer-5.2.1.tgz 0ms (cache hit)
71 http cache rimraf@https://registry.npmjs.org/rimraf/-/rimraf-3.0.2.tgz 0ms (cache hit)
72 http cache reusify@https://registry.npmjs.org/reusify/-/reusify-1.0.4.tgz 0ms (cache hit)
73 http cache run-parallel@https://registry.npmjs.org/run-parallel/-/run-parallel-1.2.0.tgz 0ms (cache hit)
74 http cache request-promise-core@https://registry.npmjs.org/request-promise-core/-/request-promise-core-1.1.4.tgz 0ms (cache hit)
75 http cache form-data@https://registry.npmjs.org/form-data/-/form-data-2.3.3.tgz 0ms (cache hit)
76 http cache request@https://registry.npmjs.org/request/-/request-2.88.2.tgz 0ms (cache hit)
77 http cache repeat-string@https://registry.npmjs.org/repeat-string/-/repeat-string-1.6.1.tgz 1ms (cache hit)
78 http cache remark-rehype@https://registry.npmjs.org/remark-rehype/-/remark-rehype-8.1.0.tgz 0ms (cache hit)
79 http cache request-promise@https://registry.npmjs.org/request-promise/-/request-promise-4.2.6.tgz 0ms (cache hit)
80 http cache remark-frontmatter@https://registry.npmjs.org/remark-frontmatter/-/remark-frontmatter-3.0.0.tgz 0ms (cache hit)
81 http cache remark-parse@https://registry.npmjs.org/remark-parse/-/remark-parse-9.0.0.tgz 0ms (cache hit)
82 http cache rehype-stringify@https://registry.npmjs.org/rehype-stringify/-/rehype-stringify-8.0.0.tgz 0ms (cache hit)
83 http cache readable-stream@https://registry.npmjs.org/readable-stream/-/readable-stream-2.3.7.tgz 0ms (cache hit)
84 http cache safe-buffer@https://registry.npmjs.org/safe-buffer/-/safe-buffer-5.1.2.tgz 33ms (cache hit)
85 http cache react-is@https://registry.npmjs.org/react-is/-/react-is-18.2.0.tgz 0ms (cache hit)
86 http cache qs@https://registry.npmjs.org/qs/-/qs-6.5.3.tgz 0ms (cache hit)
87 http cache rdf-canonize@https://registry.npmjs.org/rdf-canonize/-/rdf-canonize-3.4.0.tgz 0ms (cache hit)
88 http cache queue-microtask@https://registry.npmjs.org/queue-microtask/-/queue-microtask-1.2.3.tgz 0ms (cache hit)
89 http cache psl@https://registry.npmjs.org/psl/-/psl-1.8.0.tgz 0ms (cache hit)
90 http cache punycode@https://registry.npmjs.org/punycode/-/punycode-2.1.1.tgz 0ms (cache hit)
91 http cache ps-tree@https://registry.npmjs.org/ps-tree/-/ps-tree-1.2.0.tgz 0ms (cache hit)
92 http cache property-information@https://registry.npmjs.org/property-information/-/property-information-5.6.0.tgz 1ms (cache hit)
93 http cache proxy-from-env@https://registry.npmjs.org/proxy-from-env/-/proxy-from-env-1.1.0.tgz 0ms (cache hit)
94 http cache pretty-format@https://registry.npmjs.org/pretty-format/-/pretty-format-29.6.3.tgz 0ms (cache hit)
95 http cache process-nextick-args@https://registry.npmjs.org/process-nextick-args/-/process-nextick-args-2.0.1.tgz 0ms (cache hit)
96 http cache picomatch@https://registry.npmjs.org/picomatch/-/picomatch-2.3.1.tgz 1ms (cache hit)
97 http cache ansi-styles@https://registry.npmjs.org/ansi-styles/-/ansi-styles-5.2.0.tgz 0ms (cache hit)
98 http cache performance-now@https://registry.npmjs.org/performance-now/-/performance-now-2.1.0.tgz 0ms (cache hit)
99 http cache pause-stream@https://registry.npmjs.org/pause-stream/-/pause-stream-0.0.11.tgz 0ms (cache hit)
100 http cache path-type@https://registry.npmjs.org/path-type/-/path-type-4.0.0.tgz 0ms (cache hit)
101 http cache parse-entities@https://registry.npmjs.org/parse-entities/-/parse-entities-2.0.0.tgz 0ms (cache hit)
102 http cache oauth-sign@https://registry.npmjs.org/oauth-sign/-/oauth-sign-0.9.0.tgz 0ms (cache hit)
103 http cache once@https://registry.npmjs.org/once/-/once-1.4.0.tgz 0ms (cache hit)
104 http cache path-is-absolute@https://registry.npmjs.org/path-is-absolute/-/path-is-absolute-1.0.1.tgz 0ms (cache hit)
105 http cache node-fetch@https://registry.npmjs.org/node-fetch/-/node-fetch-3.3.2.tgz 0ms (cache hit)
106 http cache outdent@https://registry.npmjs.org/outdent/-/outdent-0.8.0.tgz 0ms (cache hit)
107 http cache moment@https://registry.npmjs.org/moment/-/moment-2.29.3.tgz 0ms (cache hit)
108 http cache node-domexception@https://registry.npmjs.org/node-domexception/-/node-domexception-1.0.0.tgz 0ms (cache hit)
109 http cache ms@https://registry.npmjs.org/ms/-/ms-2.1.2.tgz 1ms (cache hit)
110 http cache minimist@https://registry.npmjs.org/minimist/-/minimist-1.2.6.tgz 0ms (cache hit)
111 http cache minimatch@https://registry.npmjs.org/minimatch/-/minimatch-3.1.2.tgz 0ms (cache hit)
112 http cache mime-types@https://registry.npmjs.org/mime-types/-/mime-types-2.1.35.tgz 0ms (cache hit)
113 http cache mime-db@https://registry.npmjs.org/mime-db/-/mime-db-1.52.0.tgz 0ms (cache hit)
114 http cache micromatch@https://registry.npmjs.org/micromatch/-/micromatch-4.0.5.tgz 0ms (cache hit)
115 http cache micromark-extension-frontmatter@https://registry.npmjs.org/micromark-extension-frontmatter/-/micromark-extension-frontmatter-0.2.2.tgz 1ms (cache hit)
116 http cache merge2@https://registry.npmjs.org/merge2/-/merge2-1.4.1.tgz 0ms (cache hit)
117 http cache mdurl@https://registry.npmjs.org/mdurl/-/mdurl-1.0.1.tgz 0ms (cache hit)
118 http cache mdast-util-to-string@https://registry.npmjs.org/mdast-util-to-string/-/mdast-util-to-string-2.0.0.tgz 0ms (cache hit)
119 http cache mdast-util-to-hast@https://registry.npmjs.org/mdast-util-to-hast/-/mdast-util-to-hast-10.2.0.tgz 0ms (cache hit)
120 http cache mdast-util-frontmatter@https://registry.npmjs.org/mdast-util-frontmatter/-/mdast-util-frontmatter-0.2.0.tgz 0ms (cache hit)
121 http cache mdast-util-from-markdown@https://registry.npmjs.org/mdast-util-from-markdown/-/mdast-util-from-markdown-0.8.5.tgz 0ms (cache hit)
122 http cache micromark@https://registry.npmjs.org/micromark/-/micromark-2.11.4.tgz 0ms (cache hit)
123 http cache markdown-table@https://registry.npmjs.org/markdown-table/-/markdown-table-2.0.0.tgz 0ms (cache hit)
124 http cache mdast-util-definitions@https://registry.npmjs.org/mdast-util-definitions/-/mdast-util-definitions-4.0.0.tgz 0ms (cache hit)
125 http cache make-error@https://registry.npmjs.org/make-error/-/make-error-1.3.6.tgz 0ms (cache hit)
126 http cache make-dir@https://registry.npmjs.org/make-dir/-/make-dir-3.1.0.tgz 0ms (cache hit)
127 http cache map-stream@https://registry.npmjs.org/map-stream/-/map-stream-0.1.0.tgz 0ms (cache hit)
128 http cache lru-cache@https://registry.npmjs.org/lru-cache/-/lru-cache-6.0.0.tgz 0ms (cache hit)
129 http cache ky-universal@https://registry.npmjs.org/ky-universal/-/ky-universal-0.11.0.tgz 0ms (cache hit)
130 http cache jsprim@https://registry.npmjs.org/jsprim/-/jsprim-1.4.2.tgz 0ms (cache hit)
131 http cache lodash@https://registry.npmjs.org/lodash/-/lodash-4.17.21.tgz 0ms (cache hit)
132 http cache ky@https://registry.npmjs.org/ky/-/ky-0.33.3.tgz 0ms (cache hit)
133 http cache jsonld@https://registry.npmjs.org/jsonld/-/jsonld-8.2.0.tgz 0ms (cache hit)
134 http cache jsonfile@https://registry.npmjs.org/jsonfile/-/jsonfile-6.1.0.tgz 0ms (cache hit)
135 http cache json-schema-traverse@https://registry.npmjs.org/json-schema-traverse/-/json-schema-traverse-0.4.1.tgz 0ms (cache hit)
136 http cache json-stringify-safe@https://registry.npmjs.org/json-stringify-safe/-/json-stringify-safe-5.0.1.tgz 0ms (cache hit)
137 http cache json-schema@https://registry.npmjs.org/json-schema/-/json-schema-0.4.0.tgz 0ms (cache hit)
138 http cache js-yaml@https://registry.npmjs.org/js-yaml/-/js-yaml-3.14.1.tgz 0ms (cache hit)
139 http cache jsbn@https://registry.npmjs.org/jsbn/-/jsbn-0.1.1.tgz 0ms (cache hit)
140 http cache jest-util@https://registry.npmjs.org/jest-util/-/jest-util-29.6.3.tgz 0ms (cache hit)
141 http cache js-tokens@https://registry.npmjs.org/js-tokens/-/js-tokens-4.0.0.tgz 0ms (cache hit)
142 http cache jest-message-util@https://registry.npmjs.org/jest-message-util/-/jest-message-util-29.6.3.tgz 0ms (cache hit)
143 http cache jest-matcher-utils@https://registry.npmjs.org/jest-matcher-utils/-/jest-matcher-utils-29.6.4.tgz 0ms (cache hit)
144 http cache jest-get-type@https://registry.npmjs.org/jest-get-type/-/jest-get-type-29.6.3.tgz 0ms (cache hit)
145 http cache isexe@https://registry.npmjs.org/isexe/-/isexe-2.0.0.tgz 0ms (cache hit)
146 http cache isstream@https://registry.npmjs.org/isstream/-/isstream-0.1.2.tgz 0ms (cache hit)
147 http cache jest-diff@https://registry.npmjs.org/jest-diff/-/jest-diff-29.6.4.tgz 0ms (cache hit)
148 http cache isarray@https://registry.npmjs.org/isarray/-/isarray-1.0.0.tgz 0ms (cache hit)
149 http cache is-typedarray@https://registry.npmjs.org/is-typedarray/-/is-typedarray-1.0.0.tgz 0ms (cache hit)
150 http cache is-plain-obj@https://registry.npmjs.org/is-plain-obj/-/is-plain-obj-2.1.0.tgz 0ms (cache hit)
151 http cache is-number@https://registry.npmjs.org/is-number/-/is-number-7.0.0.tgz 1ms (cache hit)
152 http cache is-glob@https://registry.npmjs.org/is-glob/-/is-glob-4.0.3.tgz 1ms (cache hit)
153 http cache is-extglob@https://registry.npmjs.org/is-extglob/-/is-extglob-2.1.1.tgz 0ms (cache hit)
154 http cache is-decimal@https://registry.npmjs.org/is-decimal/-/is-decimal-1.0.4.tgz 0ms (cache hit)
155 http cache is-alphanumerical@https://registry.npmjs.org/is-alphanumerical/-/is-alphanumerical-1.0.4.tgz 0ms (cache hit)
156 http cache is-buffer@https://registry.npmjs.org/is-buffer/-/is-buffer-2.0.5.tgz 0ms (cache hit)
157 http cache is-hexadecimal@https://registry.npmjs.org/is-hexadecimal/-/is-hexadecimal-1.0.4.tgz 0ms (cache hit)
158 http cache is-alphabetical@https://registry.npmjs.org/is-alphabetical/-/is-alphabetical-1.0.4.tgz 0ms (cache hit)
159 http cache ignore@https://registry.npmjs.org/ignore/-/ignore-5.2.0.tgz 0ms (cache hit)
160 http cache inherits@https://registry.npmjs.org/inherits/-/inherits-2.0.4.tgz 0ms (cache hit)
161 http cache http-signature@https://registry.npmjs.org/http-signature/-/http-signature-1.2.0.tgz 0ms (cache hit)
162 http cache inflight@https://registry.npmjs.org/inflight/-/inflight-1.0.6.tgz 0ms (cache hit)
163 http cache html-void-elements@https://registry.npmjs.org/html-void-elements/-/html-void-elements-1.0.5.tgz 0ms (cache hit)
164 http cache hast-util-whitespace@https://registry.npmjs.org/hast-util-whitespace/-/hast-util-whitespace-1.0.4.tgz 0ms (cache hit)
165 http cache hast-util-to-html@https://registry.npmjs.org/hast-util-to-html/-/hast-util-to-html-7.1.3.tgz 0ms (cache hit)
166 http cache has-flag@https://registry.npmjs.org/has-flag/-/has-flag-4.0.0.tgz 0ms (cache hit)
167 http cache hast-util-is-element@https://registry.npmjs.org/hast-util-is-element/-/hast-util-is-element-1.1.0.tgz 0ms (cache hit)
168 http cache graceful-fs@https://registry.npmjs.org/graceful-fs/-/graceful-fs-4.2.10.tgz 0ms (cache hit)
169 http cache har-validator@https://registry.npmjs.org/har-validator/-/har-validator-5.1.5.tgz 0ms (cache hit)
170 http cache har-schema@https://registry.npmjs.org/har-schema/-/har-schema-2.0.0.tgz 0ms (cache hit)
171 http cache globby@https://registry.npmjs.org/globby/-/globby-11.1.0.tgz 0ms (cache hit)
172 http cache glob@https://registry.npmjs.org/glob/-/glob-7.2.3.tgz 0ms (cache hit)
173 http cache fs.realpath@https://registry.npmjs.org/fs.realpath/-/fs.realpath-1.0.0.tgz 0ms (cache hit)
174 http cache fs-extra@https://registry.npmjs.org/fs-extra/-/fs-extra-10.1.0.tgz 0ms (cache hit)
175 http cache formdata-polyfill@https://registry.npmjs.org/formdata-polyfill/-/formdata-polyfill-4.0.10.tgz 0ms (cache hit)
176 http cache from@https://registry.npmjs.org/from/-/from-0.1.7.tgz 0ms (cache hit)
177 http cache format@https://registry.npmjs.org/format/-/format-0.2.2.tgz 0ms (cache hit)
178 http cache form-data@https://registry.npmjs.org/form-data/-/form-data-2.5.1.tgz 0ms (cache hit)
179 http cache forever-agent@https://registry.npmjs.org/forever-agent/-/forever-agent-0.6.1.tgz 0ms (cache hit)
180 http cache follow-redirects@https://registry.npmjs.org/follow-redirects/-/follow-redirects-1.15.6.tgz 0ms (cache hit)
181 http cache fetch-blob@https://registry.npmjs.org/fetch-blob/-/fetch-blob-3.1.5.tgz 0ms (cache hit)
182 http cache fill-range@https://registry.npmjs.org/fill-range/-/fill-range-7.1.1.tgz 0ms (cache hit)
183 http cache fault@https://registry.npmjs.org/fault/-/fault-1.0.4.tgz 0ms (cache hit)
184 http cache fastq@https://registry.npmjs.org/fastq/-/fastq-1.13.0.tgz 0ms (cache hit)
185 http cache glob-parent@https://registry.npmjs.org/glob-parent/-/glob-parent-5.1.2.tgz 0ms (cache hit)
186 http cache getpass@https://registry.npmjs.org/getpass/-/getpass-0.1.7.tgz 1ms (cache hit)
187 http cache fastmatter@https://registry.npmjs.org/fastmatter/-/fastmatter-2.1.1.tgz 0ms (cache hit)
188 http cache fast-glob@https://registry.npmjs.org/fast-glob/-/fast-glob-3.2.11.tgz 0ms (cache hit)
189 http cache fast-json-stable-stringify@https://registry.npmjs.org/fast-json-stable-stringify/-/fast-json-stable-stringify-2.1.0.tgz 0ms (cache hit)
190 http cache fast-deep-equal@https://registry.npmjs.org/fast-deep-equal/-/fast-deep-equal-3.1.3.tgz 0ms (cache hit)
191 http cache extend@https://registry.npmjs.org/extend/-/extend-3.0.2.tgz 0ms (cache hit)
192 http cache extsprintf@https://registry.npmjs.org/extsprintf/-/extsprintf-1.3.0.tgz 0ms (cache hit)
193 http cache split@https://registry.npmjs.org/split/-/split-0.3.3.tgz 0ms (cache hit)
194 http cache expect@https://registry.npmjs.org/expect/-/expect-29.6.4.tgz 1ms (cache hit)
195 http cache event-target-shim@https://registry.npmjs.org/event-target-shim/-/event-target-shim-5.0.1.tgz 0ms (cache hit)
196 http cache event-stream@https://registry.npmjs.org/event-stream/-/event-stream-3.3.4.tgz 0ms (cache hit)
197 http cache ecc-jsbn@https://registry.npmjs.org/ecc-jsbn/-/ecc-jsbn-0.1.2.tgz 0ms (cache hit)
198 http cache esprima@https://registry.npmjs.org/esprima/-/esprima-4.0.1.tgz 0ms (cache hit)
199 http cache stream-combiner@https://registry.npmjs.org/stream-combiner/-/stream-combiner-0.0.4.tgz 0ms (cache hit)
200 http cache duplexer@https://registry.npmjs.org/duplexer/-/duplexer-0.1.2.tgz 0ms (cache hit)
201 http cache dir-glob@https://registry.npmjs.org/dir-glob/-/dir-glob-3.0.1.tgz 0ms (cache hit)
202 http cache escape-string-regexp@https://registry.npmjs.org/escape-string-regexp/-/escape-string-regexp-2.0.0.tgz 0ms (cache hit)
203 http cache delayed-stream@https://registry.npmjs.org/delayed-stream/-/delayed-stream-1.0.0.tgz 0ms (cache hit)
204 http cache diff@https://registry.npmjs.org/diff/-/diff-4.0.2.tgz 0ms (cache hit)
205 http cache diff-sequences@https://registry.npmjs.org/diff-sequences/-/diff-sequences-29.6.3.tgz 0ms (cache hit)
206 http cache debug@https://registry.npmjs.org/debug/-/debug-4.3.4.tgz 0ms (cache hit)
207 http cache data-uri-to-buffer@https://registry.npmjs.org/data-uri-to-buffer/-/data-uri-to-buffer-4.0.0.tgz 0ms (cache hit)
208 http cache dashdash@https://registry.npmjs.org/dashdash/-/dashdash-1.14.1.tgz 0ms (cache hit)
209 http cache create-require@https://registry.npmjs.org/create-require/-/create-require-1.1.1.tgz 0ms (cache hit)
210 http cache core-util-is@https://registry.npmjs.org/core-util-is/-/core-util-is-1.0.3.tgz 0ms (cache hit)
211 http cache concat-map@https://registry.npmjs.org/concat-map/-/concat-map-0.0.1.tgz 0ms (cache hit)
212 http cache commander@https://registry.npmjs.org/commander/-/commander-8.3.0.tgz 0ms (cache hit)
213 http cache combined-stream@https://registry.npmjs.org/combined-stream/-/combined-stream-1.0.8.tgz 0ms (cache hit)
214 http cache color-name@https://registry.npmjs.org/color-name/-/color-name-1.1.4.tgz 0ms (cache hit)
215 http cache color-convert@https://registry.npmjs.org/color-convert/-/color-convert-2.0.1.tgz 0ms (cache hit)
216 http cache comma-separated-tokens@https://registry.npmjs.org/comma-separated-tokens/-/comma-separated-tokens-1.0.8.tgz 0ms (cache hit)
217 http cache ci-info@https://registry.npmjs.org/ci-info/-/ci-info-3.8.0.tgz 0ms (cache hit)
218 http cache character-reference-invalid@https://registry.npmjs.org/character-reference-invalid/-/character-reference-invalid-1.1.4.tgz 0ms (cache hit)
219 http cache character-entities-legacy@https://registry.npmjs.org/character-entities-legacy/-/character-entities-legacy-1.1.4.tgz 0ms (cache hit)
220 http cache character-entities@https://registry.npmjs.org/character-entities/-/character-entities-1.2.4.tgz 0ms (cache hit)
221 http cache chalk@https://registry.npmjs.org/chalk/-/chalk-4.1.2.tgz 0ms (cache hit)
222 http cache ccount@https://registry.npmjs.org/ccount/-/ccount-1.1.0.tgz 0ms (cache hit)
223 http cache character-entities-html4@https://registry.npmjs.org/character-entities-html4/-/character-entities-html4-1.1.4.tgz 0ms (cache hit)
224 http cache caseless@https://registry.npmjs.org/caseless/-/caseless-0.12.0.tgz 0ms (cache hit)
225 http cache canonicalize@https://registry.npmjs.org/canonicalize/-/canonicalize-1.0.8.tgz 0ms (cache hit)
226 http cache braces@https://registry.npmjs.org/braces/-/braces-3.0.3.tgz 0ms (cache hit)
227 http cache bail@https://registry.npmjs.org/bail/-/bail-1.0.5.tgz 0ms (cache hit)
228 http cache balanced-match@https://registry.npmjs.org/balanced-match/-/balanced-match-1.0.2.tgz 0ms (cache hit)
229 http cache axios@https://registry.npmjs.org/axios/-/axios-0.28.0.tgz 0ms (cache hit)
230 http cache brace-expansion@https://registry.npmjs.org/brace-expansion/-/brace-expansion-1.1.11.tgz 0ms (cache hit)
231 http cache form-data@https://registry.npmjs.org/form-data/-/form-data-4.0.0.tgz 0ms (cache hit)
232 http cache aws4@https://registry.npmjs.org/aws4/-/aws4-1.11.0.tgz 0ms (cache hit)
233 http cache aws-sign2@https://registry.npmjs.org/aws-sign2/-/aws-sign2-0.7.0.tgz 0ms (cache hit)
234 http cache asn1@https://registry.npmjs.org/asn1/-/asn1-0.2.6.tgz 0ms (cache hit)
235 http cache assert-plus@https://registry.npmjs.org/assert-plus/-/assert-plus-1.0.0.tgz 0ms (cache hit)
236 http cache array-union@https://registry.npmjs.org/array-union/-/array-union-2.1.0.tgz 0ms (cache hit)
237 http cache asynckit@https://registry.npmjs.org/asynckit/-/asynckit-0.4.0.tgz 0ms (cache hit)
238 http cache bluebird@https://registry.npmjs.org/bluebird/-/bluebird-3.7.2.tgz 0ms (cache hit)
239 http cache bcrypt-pbkdf@https://registry.npmjs.org/bcrypt-pbkdf/-/bcrypt-pbkdf-1.0.2.tgz 0ms (cache hit)
240 http cache argparse@https://registry.npmjs.org/argparse/-/argparse-1.0.10.tgz 0ms (cache hit)
241 http cache arg@https://registry.npmjs.org/arg/-/arg-4.1.3.tgz 0ms (cache hit)
242 http cache ansi-styles@https://registry.npmjs.org/ansi-styles/-/ansi-styles-4.3.0.tgz 0ms (cache hit)
243 http cache ajv@https://registry.npmjs.org/ajv/-/ajv-6.12.6.tgz 0ms (cache hit)
244 http cache acorn-walk@https://registry.npmjs.org/acorn-walk/-/acorn-walk-8.2.0.tgz 0ms (cache hit)
245 http cache acorn@https://registry.npmjs.org/acorn/-/acorn-8.7.1.tgz 0ms (cache hit)
246 http cache @types/yargs-parser@https://registry.npmjs.org/@types/yargs-parser/-/yargs-parser-21.0.0.tgz 0ms (cache hit)
247 http cache abort-controller@https://registry.npmjs.org/abort-controller/-/abort-controller-3.0.0.tgz 0ms (cache hit)
248 http cache @types/yargs@https://registry.npmjs.org/@types/yargs/-/yargs-17.0.24.tgz 0ms (cache hit)
249 http cache @types/unist@https://registry.npmjs.org/@types/unist/-/unist-2.0.6.tgz 0ms (cache hit)
250 http cache @types/which@https://registry.npmjs.org/@types/which/-/which-2.0.1.tgz 0ms (cache hit)
251 http cache @types/tough-cookie@https://registry.npmjs.org/@types/tough-cookie/-/tough-cookie-4.0.2.tgz 0ms (cache hit)
